         SKU;Item code;Title;Category;Height  (cm);Width  (cm);Chain length (cm);Chain width;NOK;Total Price USD;Image;Tags;Description;;;
2336;P100-700;Kors-anheng i sõlv;Kjeder og Anheng;3,2;1,8;;;480;2,440223464;2689.jpg|2694.jpg|2886.jpg;anheng,sterling sõlv,kors,filigran;;;;
2337;P048-500;Filigran sõlv-anheng med hjerte;Kjeder og Anheng;2,6;2;;;530;2,483798883;2877.jpg|2880.jpg;anheng,sterling sõlv,hjerte,filigran;;;;
2340;P104-500;Nõkkelanheng i sõlv;Kjeder og Anheng;2;0,5;;;415;5,12849162;2773.jpg|2778.jpg;anheng,sterling sõlv,nõkkel;;;;
2341;P105-800;Hjertemedaljong i sõlv;Kjeder og Anheng;2,5;1,75;;;480;5,29877095;2837.jpg|2841.jpg|2843.jpg;anheng,sterling sõlv,hjerte,kjërlighet,medaljong;;;;
2342;P109-700;Anheng i sõlv med pil;Kjeder og Anheng;2;1,5;;;480;2,963128492;2749.jpg|2753.jpg;anheng,sterling sõlv,hjerte,pil;;;;
2343;P138-280;Hjerte-anheng i sõlv;Kjeder og Anheng;2;1,75;;;480;1,487374302;2763.jpg|2767.jpg|2770.jpg;anheng,sterling sõlv,hjerte,zirkoner,hjerte;;;;
2344;P139-250;Engel-anheng i sõlv;Kjeder og Anheng;2,25;1,5;;;500;1,460111732;2846.jpg|2850.jpg|2852.jpg;anheng,sterling sõlv,engel;;;;
2345;P159-350;Nõkkelanheng i sõlv;Kjeder og Anheng;4;1;;;500;2,29273743;2756.jpg|2760.jpg;anheng,sterling sõlv,nõkkel,hjerte;;;;
2346;PD318-750;Hjerte-anheng i sõlv;Kjeder og Anheng;3,2;2,6;;;630;7,141899441;2903.jpg|2910.jpg;anheng,sterling sõlv,hjerte;;;;
2347;PD323-380;Anker-anheng i sõlv;Kjeder og Anheng;3,25;1,75;;;665;4,022346369;2733.jpg;anheng,sterling sõlv,anker;;;;
2348;SCE324-580;Infinity õreringer i sõlv med krystaller;ùrepynt;1,25;1,25;;;695;4,189944134;3430.jpg;õrepynt,sterling sõlv,zirkoner,sorte krystaller;;;;
2349;SCE351-620;ùredobber i sõlv med zirkoner;ùrepynt;1,4;1,4;;;695;4,860335196;3465.jpg;õrepynt,sterling sõlv,zirkoner,loop;;;;
2350;SCE366-580;Infinity õreringer i sõlv;ùrepynt;1,5;1,5;;;695;4,357541899;3462.jpg;õrepynt,sterling sõlv,zirkoner,loop;;;;
2351;SE508-250;Hjerteformede õredobber i sõlv med perler;ùrepynt;1;1;;;665;2,091620112;3426.jpg;õredobber,sterling sõlv,hjerte;;;;
2352;SP002-600;Triangel-anheng i sõlv;Kjeder og Anheng;2;1,5;;;595;2,502793296;3195.jpg|3200.jpg;anheng,sterling sõlv,anheng,zirkoner,kremfarget,perler;;;;
2353;SP009-650;Hjerte-anheng i sõlv;Kjeder og Anheng;2,2;1,5;;;610;2,536759777;3241.jpg|3244.jpg;anheng,sterling sõlv,anheng,zirkoner,hjerte;;;;
2354;SP011-650;Sõlvanheng med zirkon;Kjeder og Anheng;1,8;0,5;;;610;1,474860335;3071.jpg|3073.jpg;anheng,sterling sõlv,anheng,zirkoner;;;;
2355;SP012-650;Hjerte-anheng med kors i sõlv;Kjeder og Anheng;;;;;610;3,465921788;2915.jpg|2916.jpg;anheng,sterling sõlv,anheng,zirkoner,kors,hjerte;;;;
2356;SP014-650;Sõlvanheng med zirkoner og sorte krystaller;Kjeder og Anheng;;;;;595;5,577653631;3104.jpg|3105.jpg;anheng,sterling sõlv,zirkoner,sorte krystaller,hjerte;;;;
2357;SP015-650;Hjerteknute-anheng i sõlv;Kjeder og Anheng;2,1;1,8;;;610;2,64;3087.jpg|3091.jpg;anheng,sterling sõlv,zirkoner,hjerte;;;;
2358;SP018-650;Hjerte-anheng i sõlv med zirkoner;Kjeder og Anheng;2;15;;;610;2,197541899;2713.jpg|2720.jpg;anheng,sterling sõlv,zirkoner,hjerte;;;;
2359;SP035- 650;Pusekatt-anheng i sõlv;Kjeder og Anheng;2;1;;;595;3,832849162;3205.jpg|3208.jpg;anheng,sterling sõlv,zirkoner,sort,hjerte,pusekatt,pink;;;;
